"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Duplicate error codes are valid (the same error can recur); each call must add one entry regardless of code.","1","accumulates errors independently — each call adds exactly one","QoECollector","2026-04-27","passed","2026-04-27","","error tracking","",""
"Every id in DEMO_SCENARIO_IDS must round-trip through parseDemoScenario unchanged.","1","accepts every known scenario id","parseDemoScenario","2026-04-27","passed","2026-04-27","","","",""
"An empty string is not a valid video id and must return undefined.","784","returns undefined for an empty string","findVideo","2026-04-27","passed","2026-04-27","","","",""
"HERO_VIDEO powers the full-width hero banner; it must be the leading video in the ""featured"" row.","1","is the first video in the ""featured"" row","HERO_VIDEO","2026-04-27","passed","2026-04-27","","","",""
"Without a playback-request mark there is no start time, so TTFF must remain null even after the first frame is marked.","1","returns null when only markFirstFrameRendered has been called","QoECollector","2026-04-27","passed","2026-04-27","","getTimeToFirstFrameMs","",""
"Error count must be zero before any playback errors are recorded.","1","starts with zero errors","QoECollector","2026-04-27","passed","2026-04-27","","initial state","",""
"Each call to recordError must increment the error count by exactly one.","1","increments the error count for each recorded error","QoECollector","2026-04-27","passed","2026-04-27","","error tracking","",""
"findVideo must successfully locate every video that exists in ALL_VIDEOS.","1","finds every video present in ALL_VIDEOS by its id","findVideo","2026-04-27","passed","2026-04-27","","","",""
"The QoE demo scenarios row must be present for the workshop demo to function.","800","contains a ""qoe-scenarios"" row","CATALOG","2026-04-27","passed","2026-04-27","","","",""
"The scenario field is used to activate QoE fault injection; an unknown id would silently fall back to baseline.","2","all scenario values are valid DemoScenarioIds","ALL_VIDEOS","2026-04-27","passed","2026-04-27","","","",""
"Duplicate video IDs would cause React key collisions and routing bugs.","1","all video IDs are unique","ALL_VIDEOS","2026-04-27","passed","2026-04-27","","","",""
"unregisterQoeDemoBridge must delete window.__QOE_DEMO__ so tests that navigate away from the player cannot call a stale bridge.","1","removes window.__QOE_DEMO__ when a bridge is registered","unregisterQoeDemoBridge","2026-04-27","passed","2026-04-27","","","",""
"HLS stream URLs must be fully-qualified http(s) addresses ending in .m3u8 so HLS.js can load them.","4","all hlsUrl values are valid http(s) URLs","ALL_VIDEOS","2026-04-27","passed","2026-04-27","","","",""
"Calling recordBufferingEnd without a prior recordBufferingStart must be a safe no-op.","747","ignores recordBufferingEnd when no start has been recorded","QoECollector","2026-04-27","passed","2026-04-27","","buffering tracking","",""
"A second recordBufferingStart while an event is already open must be ignored — the original start time is preserved.","746","recordBufferingStart is idempotent while a buffering event is open","QoECollector","2026-04-27","passed","2026-04-27","","buffering tracking","",""
"DEMO_SCENARIO_LABELS must not contain orphaned entries for unknown scenario ids.","1","has no extra entries beyond the known scenario ids","DEMO_SCENARIO_LABELS","2026-04-27","passed","2026-04-27","","","",""
"TTFF = firstFrameMark − playbackRequestMark, measured in milliseconds via performance.now().","3","returns the elapsed ms between request and first frame","QoECollector","2026-04-27","passed","2026-04-27","","getTimeToFirstFrameMs","",""
"HERO_VIDEO must be reachable via findVideo so detail pages work when navigating from the hero banner.","784","is findable by its id","HERO_VIDEO","2026-04-27","passed","2026-04-27","","","",""
"TTFF cannot be computed before the playback request has been marked — must return null.","1","returns null before markPlaybackRequested is called","QoECollector","2026-04-27","passed","2026-04-27","","getTimeToFirstFrameMs","",""
"Partial matches must not be accepted — only exact id strings are valid.","817","returns ""baseline"" for a string that is a prefix of a valid id","parseDemoScenario","2026-04-27","passed","2026-04-27","","","",""
"""baseline"" must be the first scenario — it is the reference stream used by other tests.","817","always includes ""baseline"" as the first entry","DEMO_SCENARIO_IDS","2026-04-27","passed","2026-04-27","","","",""
"Rendering an empty row would produce a blank carousel — every row must have ≥ 1 video.","1","every row contains at least one video","CATALOG","2026-04-27","passed","2026-04-27","","","",""
"A start/end pair must produce exactly one buffering event and add the elapsed seconds to totalBufferingTime.","2","records a buffering event and accumulates duration","QoECollector","2026-04-27","passed","2026-04-27","","buffering tracking","",""
"A transition from one bitrate to a different one must increment the switch counter.","1","counts a switch when the bitrate changes","QoECollector","2026-04-27","passed","2026-04-27","","bitrate tracking","",""
"The ""featured"" row drives the hero banner on the home page.","1","contains a ""featured"" row","CATALOG","2026-04-27","passed","2026-04-27","","","",""
"A freshly constructed QoECollector must report zero buffering events and zero accumulated buffering time.","8","starts with zero buffering count and time","QoECollector","2026-04-27","passed","2026-04-27","","initial state","",""
"Scenario ids are case-sensitive; mixed-case variants must fall back to ""baseline"".","1","is case-sensitive — mixed-case ids fall back to baseline","parseDemoScenario","2026-04-27","passed","2026-04-27","","","",""
"A second call to registerQoeDemoBridge must replace the previous bridge so hot-reloads pick up the latest instance.","1","overrides a previously registered bridge","registerQoeDemoBridge","2026-04-27","passed","2026-04-27","","","",""
"Every scenario id must have a corresponding human-readable label.","1","has a label entry for every known scenario id","DEMO_SCENARIO_LABELS","2026-04-27","passed","2026-04-27","","","",""
"ALL_VIDEOS must equal the flat-mapped union of every catalog row — no extras, no omissions.","1","is the flat union of all CATALOG rows","ALL_VIDEOS","2026-04-27","passed","2026-04-27","","","",""
"matchScore drives the recommendation percentage badge (0–100); values outside that range would cause display bugs.","4","all matchScore values are in the range 0–100","ALL_VIDEOS","2026-04-27","passed","2026-04-27","","","",""
"The catalog must have a meaningful number of videos — a count ≤ 5 would indicate missing content.","798","contains more than 5 videos","ALL_VIDEOS","2026-04-27","passed","2026-04-27","","","",""
"The first bitrateChange event establishes a baseline; it must not be counted as a quality-level switch.","745","does not count the first bitrate set as a switch","QoECollector","2026-04-27","passed","2026-04-27","","bitrate tracking","",""
"Each label value must be a non-empty string suitable for display in a UI.","817","all labels are non-empty strings","DEMO_SCENARIO_LABELS","2026-04-27","passed","2026-04-27","","","",""
"Only the first call to markPlaybackRequested sets the start mark; subsequent calls must be silently ignored so TTFF is not reset mid-session.","1","markPlaybackRequested is idempotent — subsequent calls are ignored","QoECollector","2026-04-27","passed","2026-04-27","","getTimeToFirstFrameMs","",""
"The switch counter must accurately reflect the number of quality-level transitions across the session.","1","counts multiple switches correctly","QoECollector","2026-04-27","passed","2026-04-27","","bitrate tracking","",""
"Calling unregisterQoeDemoBridge when no bridge is registered must not throw — it should be a safe no-op.","1","is safe to call when no bridge is registered (idempotent)","unregisterQoeDemoBridge","2026-04-27","passed","2026-04-27","","","",""
"Every video must have the three fields required for display in a VideoTile component.","1","all videos have non-empty id, title, and description","ALL_VIDEOS","2026-04-27","passed","2026-04-27","","","",""
"The scenario property must survive registration so Playwright tests can read it from window.__QOE_DEMO__.scenario.","24","preserves the scenario value on the registered bridge","registerQoeDemoBridge","2026-04-27","passed","2026-04-27","","","",""
"lastBitrate must always reflect the most recently recorded bitrate value.","3","tracks the last observed bitrate","QoECollector","2026-04-27","passed","2026-04-27","","bitrate tracking","",""
"In silent mode (used in CI without a backend) sendMetrics must return immediately without making any HTTP call or throwing.","1","resolves without throwing","QoECollector","2026-04-27","passed","2026-04-27","","sendMetrics in silent mode","",""
